"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"45191308","2025","5219042000","003","목가마을노인시설","135-1","129","32","4","1","N","2021-03-19 16:46:15.000","2025-05-29 14:59:57.000","","전북특별자치도 남원시 이백면 목가길 78-15","N","4701028","N","","","127.4700473","35.437765","","0900","2100","","","001"
"45191309","2025","5219042000","003","평촌마을노인시설","187-2","156","39","2","1","","2021-03-19 16:46:15.000","2025-05-29 15:00:16.000","","전북특별자치도 남원시 이백면 평촌안길 38 ","","4701028","N","","","127.4619654","35.4348034","","0900","1800","0900","1800","001"
"45800131","2025","5280032000","003","당중경로당","48-6","64.97","20","2","1","Y","2021-02-04 14:24:42.000","2025-05-29 11:25:27.000","","전북특별자치도 부안군 동진면간재로 271-5","Y","4791038","N","","","126.7091927","35.7539547","","0900","1700","0900","1700","001"
"45800132","2025","5280032000","003","반곡2경로당","344-1","49.5","15","2","1","Y","2021-02-04 14:24:42.000","2025-05-29 14:41:34.000","","전북특별자치도 부안군 동진면반곡2길 14","Y","4791038","N","","","126.7399101","35.7675775","","0900","1700","0900","1700","001"
"1147000525","2025","1147064000","001","신정3동주민센터","1263 신정3동주민센터","1762","300","10","4","N","2021-06-07 14:37:58.000","2025-05-10 11:26:20.000","","서울특별시 양천구 신정동 중앙로  209 ,  신정3동주민센터 (신정동)","N","3140245","N","","","126.8548","37.5151","","0900","1800","","","001"
"43130127","2025","4313033500","004","서충주농협","156-3","871","300","10","5","N","2021-02-25 09:38:45.000","2025-05-15 08:03:12.000","","충청북도 충주시 대소원면 대소원로 122","N","4390176","N","","","127.81824","36.975237","","0900","1800","","","001"
"48220039","2025","4822031000","003","동암경로당","45-0","26","6","2","2","N","2021-01-25 20:14:35.000","2025-07-17 15:50:14.000","","경상남도 통영시 용남면 용남해안로 417","N","5330032","N","","","128.453922","34.8685923","","0900","2000","","","001"
"11110040","2025","1111064000","001","이화동주민센터","149-1","400","50","5","3","N","2021-03-11 16:17:25.000","2025-05-23 13:20:25.000","폭염특보 시 추가운영","서울특별시 종로구 이화장길 33","Y","3000257","N","","","127.0043569","37.5769944","","0900","1800","","","001"
"44150175","2025","4415037000","003","북계2리마을회관","98-4","69.93","17","2","2","N","2021-03-12 14:39:33.000","2025-05-12 14:22:22.000","","충청남도 공주시 정안면율속길 49","N","4500280","N","","","127.1237769","36.546664","","0900","1800","0900","2200","001"
"44150176","2025","4415037000","003","석송리마을회관","147-6","94.85","24","2","1","N","2021-03-12 14:39:33.000","2025-05-12 14:22:37.000","","충청남도 공주시 정안면 석송안말길 60-17 ","N","4500280","N","965501.623742","1840059.041032","127.1144959","36.5576685","","0900","1800","0900","2200","001"
"47840191","2025","4784037000","003","봉학4리경로당","113-0","42","10","2","1","N","2021-03-16 08:52:48.000","2025-07-14 15:32:03.000","","경상북도 성주군 벽진면 봉학3길 10 ","N","5210119","N","1062833.213419","1777182.91712","128.1970596","35.9894051","","0900","2100","0900","2100","001"
"47840192","2025","4784037000","003","용암1리경로당","용암리 592-1","50","10","2","1","N","2021-03-16 08:52:48.000","2025-07-14 15:32:04.000","","경상북도 성주군 벽진면 달창길  27","N","5210119","N","","","128.201465","36.002412","","0900","2100","0900","2100","001"
